seed,method,dev_bal_acc,test_bal_acc,test_macro_f1,feature_seconds,teacher_seconds,health_seconds,routing_seconds,student_seconds,total_seconds,peak_cuda_allocated_mb,student_init_hash,paired_init_verified,tcrd_paired_reused
0,hard,0.25,0.3,0.2048606524897636,5.842517110984772,1.543571799993515,0.03491110121831298,3.1371600925922394e-06,0.1021990510635078,7.56753958389163,875.1484375,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,True,False
0,kd,0.25,0.25,0.1,0.15254074102267623,0.10306805092841387,0.021652131341397762,3.5227276384830475e-06,0.36206144792959094,0.8284600838087499,173.1953125,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,True,False
0,hakd,0.24166666666666667,0.25833333333333336,0.1880652065894584,0.15287567023187876,0.08724987599998713,0.02153576398268342,1.889653503894806e-06,0.4232136500068009,0.872618299908936,173.1953125,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,True,False
0,tcrd,0.25,0.3,0.2048606524897636,0.15279663121327758,0.08749240078032017,0.021560922730714083,1.5459954738616943e-05,0.10612403508275747,0.5603042901493609,59.9228515625,e834ef1397f91e68da219056be2d4b945ab724647cc45720ad1f0a2e2bcb1c33,True,True
1,hard,0.25,0.24166666666666667,0.11038961038961038,11.285913913045079,1.622695163358003,0.021280185785144567,2.675224095582962e-06,0.13150988612324,13.124210072215647,827.306640625,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,True,False
1,kd,0.25,0.25,0.1,0.14715844625607133,0.11528201727196574,0.021102699916809797,2.144835889339447e-06,0.36261595971882343,0.8560124947689474,173.1953125,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,True,False
1,hakd,0.16666666666666666,0.24166666666666667,0.1215125460607124,0.1406701090745628,0.08901168406009674,0.021086741238832474,2.353917807340622e-06,0.43953061988577247,0.9026768417097628,173.1953125,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,True,False
1,tcrd,0.25,0.24166666666666667,0.11038961038961038,0.15739500615745783,0.08817784395068884,0.021364135202020407,1.5719793736934662e-05,0.05793383764103055,0.5179037689231336,59.9228515625,6c050a521b2e5d3c420e5c1162c205340b888371b1b1a39473805531eea0989d,True,True
2,hard,0.23333333333333334,0.225,0.11376728110599078,7.545734900049865,1.5460657058283687,0.03593234810978174,1.8300488591194153e-06,0.13453555386513472,9.296378711238503,896.8935546875,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,True,False
2,kd,0.225,0.18333333333333332,0.08208955223880597,0.14672469487413764,0.08719882695004344,0.02120727999135852,2.2831372916698456e-06,0.38785166619345546,0.8428623480722308,173.1953125,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,True,False
2,hakd,0.30833333333333335,0.21666666666666665,0.1813121118012422,0.1481343018822372,0.08722880575805902,0.021015980280935764,1.8239952623844147e-06,0.41637730365619063,0.8666305560618639,173.1953125,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,True,False
2,tcrd,0.23333333333333334,0.225,0.11376728110599078,0.14711657026782632,0.11481073778122663,0.021169736981391907,1.5802215784788132e-05,0.06650300091132522,0.5386298540979624,59.9228515625,2eb89cb8407f531ca8dda43e83f8b0c9b84fe1e7345eca1da49db09484f2e074,True,True
