seed,sigma,loss,epsilon,health,bal_acc,macro_f1
0,0.5,balanced_softmax,31.303669169923868,0.626829937728043,0.7140039464575249,0.6756423837556226
0,0.0,balanced_softmax,,0.6431367145878678,0.7305794808119729,0.6920229964477752
0,0.0,ce,,0.5766664472893539,0.6936910337077116,0.7083001835617014
0,1.0,balanced_softmax,4.3525929589290735,0.6228999753365926,0.6948900007514892,0.6556667226686813
0,1.0,ce,4.3525929589290735,0.5093416473674213,0.6490534935144195,0.6640849655128537
0,2.0,balanced_softmax,1.5505155007745814,0.6152067487453345,0.6748340603423147,0.6314325941453532
0,4.0,balanced_softmax,0.6884773921257147,0.5881066594868603,0.6499073874815543,0.6037645436125687
0,8.0,balanced_softmax,0.3238927928737457,0.5701623941151394,0.61025515339491,0.5690888398666043
1,0.5,balanced_softmax,31.410917366067462,0.6306422085800153,0.7123808433987356,0.6657966240516257
1,0.0,balanced_softmax,,0.6444966321110993,0.7295140169836585,0.6952689267718409
1,0.0,ce,,0.562610942904686,0.6938071729655135,0.707712226089067
1,1.0,balanced_softmax,4.3700538328001395,0.6137165330267371,0.6999938656838097,0.6623705333582145
1,1.0,ce,4.3700538328001395,0.5137434883588954,0.6612132453407662,0.6722139671920545
1,2.0,balanced_softmax,1.5564007857753206,0.5795497651788718,0.6776675166466269,0.6388327646479821
1,4.0,balanced_softmax,0.6910224771003589,0.5803621857423138,0.6338813085250771,0.5970864793887062
1,8.0,balanced_softmax,0.32506397810152254,0.5304461689143097,0.5974555681942394,0.569833283160277
2,0.5,balanced_softmax,31.303669169923868,0.6265100722786766,0.7147860361899037,0.6762005509804337
2,0.0,balanced_softmax,,0.6498766218931727,0.7212837145433677,0.6872872990487596
2,0.0,ce,,0.5812198107034287,0.7013370105071869,0.7121463554204429
2,1.0,balanced_softmax,4.3525929589290735,0.6145504908619261,0.6978577430726349,0.6595840005839192
2,1.0,ce,4.3525929589290735,0.5255360068315907,0.6531355180038622,0.6660773525483557
2,2.0,balanced_softmax,1.5505155007745814,0.6070274245633224,0.6770758611384379,0.6388085624519922
2,4.0,balanced_softmax,0.6884773921257147,0.5750338083673169,0.6435216497239985,0.6007046225227946
2,8.0,balanced_softmax,0.3238927928737457,0.529614284365031,0.5929189496001167,0.5651182574280561
3,0.5,balanced_softmax,31.303669169923868,0.6258670992382235,0.7194007925935034,0.6741221841617305
3,0.0,balanced_softmax,,0.6402458621345284,0.7324890891721777,0.6955118635898313
3,0.0,ce,,0.5676291699297119,0.7030889911369806,0.711602936857727
3,1.0,balanced_softmax,4.3525929589290735,0.6051388309372641,0.7013102529330856,0.6674808307935304
3,1.0,ce,4.3525929589290735,0.5165092480097531,0.6685158569938606,0.6849258881061394
3,2.0,balanced_softmax,1.5505155007745814,0.5985920740146957,0.671625144035452,0.6347717193420771
3,4.0,balanced_softmax,0.6884773921257147,0.5895709844768772,0.6349982237525277,0.5879754308712761
3,8.0,balanced_softmax,0.3238927928737457,0.5421751690593217,0.6037335640177807,0.5692978141678552
4,0.5,balanced_softmax,31.303669169923868,0.6206881922727142,0.7085497423302544,0.6707345977513647
4,0.0,balanced_softmax,,0.6389631520805786,0.7309620571906142,0.6941464224213436
4,0.0,ce,,0.5625210068185468,0.7027142427720392,0.7153200272902572
4,1.0,balanced_softmax,4.3525929589290735,0.6164604781831824,0.679760229363648,0.6439588286918279
4,1.0,ce,4.3525929589290735,0.553907246067287,0.6588936625539706,0.6711041225148167
4,2.0,balanced_softmax,1.5505155007745814,0.5823336693146565,0.6460352960867901,0.6092684526522677
4,4.0,balanced_softmax,0.6884773921257147,0.5881879685694071,0.6352562635495801,0.6057669776024284
4,8.0,balanced_softmax,0.3238927928737457,0.5483324430255937,0.5838685559791222,0.5508620557465664
5,0.5,balanced_softmax,31.410917366067462,0.6201820127943005,0.7039058799484432,0.6632659977943353
5,0.0,balanced_softmax,,0.6385636929401025,0.7270530318039388,0.6863790357303775
5,0.0,ce,,0.5766339700182753,0.7102126970951522,0.7180079541277542
5,1.0,balanced_softmax,4.3700538328001395,0.6149434199197288,0.6855318238645679,0.6407583029212951
5,1.0,ce,4.3700538328001395,0.5351818159997287,0.6704776283908109,0.6769408462470459
5,2.0,balanced_softmax,1.5564007857753206,0.598822484182946,0.6617384338962672,0.6135188501610335
5,4.0,balanced_softmax,0.6910224771003589,0.5816360418632817,0.6301914675219981,0.5905699130379253
5,8.0,balanced_softmax,0.32506397810152254,0.5777472787569656,0.5828645064764716,0.5409062105247453
6,0.5,balanced_softmax,31.303669169923868,0.6268805373212123,0.719628516628409,0.6807510358774578
6,0.0,balanced_softmax,,0.6335309538211907,0.7353855254048933,0.6923199262164791
6,0.0,ce,,0.5521094802086145,0.6897073575358438,0.7037986394418739
6,1.0,balanced_softmax,4.3525929589290735,0.6235440942182288,0.7024442474631543,0.6549324779730515
6,1.0,ce,4.3525929589290735,0.5470451367913927,0.6864445702619736,0.6961770754349779
6,2.0,balanced_softmax,1.5505155007745814,0.6033063165772035,0.6772973227623836,0.6350915760598278
