seed,sigma,health,bal_acc,macro_f1,dispersion,epsilon,route,rc_mode,rc_certified,iid_rc_mode,s_bacc_mode,cluster_se,iid_se,teacher_test_bal_acc,test_health,test_health_region,cluster_interval_contains_test_estimate,hard,hard_mf1,kd,kd_mf1,hakd,hakd_mf1,ctkd_global,ctkd_global_mf1,kd_meanmatched,kd_meanmatched_mf1,hakd_class,hakd_class_mf1,hakd_confidence,hakd_confidence_mf1,kd_gain,hakd_gain_hard,hakd_gain_kd,tcrd,rc_tcrd,t_bacc,s_bacc,tcrd_mf1,rc_tcrd_mf1,t_bacc_mf1,s_bacc_mf1,w_1_1_1_mode,w_1_1_1,w_1_1_1_mf1,w_1_0_0_mode,w_1_0_0,w_1_0_0_mf1,w_0_1_0_mode,w_0_1_0,w_0_1_0_mf1,w_0_0_1_mode,w_0_0_1,w_0_0_1_mf1,w_1_1_0_mode,w_1_1_0,w_1_1_0_mf1,w_1_0_1_mode,w_1_0_1,w_1_0_1_mf1,w_0_1_1_mode,w_0_1_1,w_0_1_1_mf1,w_2_1_1_mode,w_2_1_1,w_2_1_1_mf1,w_1_2_1_mode,w_1_2_1,w_1_2_1_mf1,w_1_1_2_mode,w_1_1_2,w_1_1_2_mf1,bal_acc_prediction,bal_acc_squared_error,health_prediction,health_squared_error,bal_acc+macro_f1+dispersion_prediction,bal_acc+macro_f1+dispersion_squared_error
0,0.5,0.6268299377280429,0.6901540794813462,0.6481503948369457,0.5421853388658369,31.303669169923868,kd,kd,True,kd,hakd,0.018395880548854198,0.013891586160124827,0.7140039464575249,0.6562502692750293,kd,True,0.67461736669035,0.681280802336275,0.7165184467854475,0.6967178410297662,0.7135972455639359,0.6998075859638869,0.724693312655991,0.6974372119412354,0.718527969065967,0.7040253847871831,0.7200778446147821,0.7026991758301683,0.719466974891148,0.7156536431126836,0.04190108009509752,0.038979878873585894,-0.0029212012215116268,0.7165184467854475,0.7165184467854475,0.7165184467854475,0.7135972455639359,0.6967178410297662,0.6967178410297662,0.6967178410297662,0.6998075859638869,kd,0.7165184467854475,0.6967178410297662,kd,0.7165184467854475,0.6967178410297662,kd,0.7165184467854475,0.6967178410297662,hakd,0.7135972455639359,0.6998075859638869,kd,0.7165184467854475,0.6967178410297662,kd,0.7165184467854475,0.6967178410297662,hakd,0.7135972455639359,0.6998075859638869,kd,0.7165184467854475,0.6967178410297662,kd,0.7165184467854475,0.6967178410297662,kd,0.7165184467854475,0.6967178410297662,0.04130080228997764,3.603334433195451e-07,0.043193824488997556,1.6711880679599715e-06,0.04156960554714439,1.0987537594073355e-07
0,1.0,0.6228999753365925,0.6849082106280676,0.6443726282447805,0.5394190871369295,4.3525929589290735,kd,hard,False,kd,hakd,0.018404352707242836,0.014160292037892102,0.6948900007514892,0.6462054749709026,kd,True,0.67461736669035,0.681280802336275,0.7115148515922466,0.6843415896484851,0.7043776956832631,0.6879972851071123,0.7121246538594669,0.6851259762911749,0.7150154681550709,0.6998187319562829,0.7127152419112422,0.6954492277028391,0.7155455670100745,0.7052598850906623,0.03689748490189659,0.029760328992913143,-0.00713715590898345,0.7115148515922466,0.67461736669035,0.7115148515922466,0.7043776956832631,0.6843415896484851,0.681280802336275,0.6843415896484851,0.6879972851071123,kd,0.7115148515922466,0.6843415896484851,kd,0.7115148515922466,0.6843415896484851,kd,0.7115148515922466,0.6843415896484851,hakd,0.7043776956832631,0.6879972851071123,kd,0.7115148515922466,0.6843415896484851,kd,0.7115148515922466,0.6843415896484851,hakd,0.7043776956832631,0.6879972851071123,kd,0.7115148515922466,0.6843415896484851,kd,0.7115148515922466,0.6843415896484851,kd,0.7115148515922466,0.6843415896484851,0.038058958396066996,1.3490206776604033e-06,0.039269227272287204,5.62516187150607e-06,0.03865719912793889,3.0965941573356457e-06
0,2.0,0.6152067487453345,0.6669293267668309,0.6212911960943458,0.5573997233748271,1.5505155007745814,kd,hard,False,hard,hakd,0.017237450842230898,0.014144158793881045,0.6748340603423147,0.631243113684944,kd,True,0.67461736669035,0.681280802336275,0.6909103097502323,0.6643768983453914,0.6983295588074547,0.6821342238667336,0.6904093168734401,0.6657464980691791,0.6963716302535934,0.6837361165784333,0.6938727859530708,0.6804728923441915,0.7129924959237398,0.7026055585291026,0.01629294305988227,0.023712192117104736,0.007419249057222466,0.6909103097502323,0.67461736669035,0.6909103097502323,0.6983295588074547,0.6643768983453914,0.681280802336275,0.6643768983453914,0.6821342238667336,kd,0.6909103097502323,0.6643768983453914,kd,0.6909103097502323,0.6643768983453914,kd,0.6909103097502323,0.6643768983453914,hakd,0.6983295588074547,0.6821342238667336,kd,0.6909103097502323,0.6643768983453914,kd,0.6909103097502323,0.6643768983453914,hakd,0.6983295588074547,0.6821342238667336,kd,0.6909103097502323,0.6643768983453914,kd,0.6909103097502323,0.6643768983453914,kd,0.6909103097502323,0.6643768983453914,0.02694836137295395,0.00011353793942654332,0.031586503454558754,0.00023389298954561714,0.025274212383770422,8.066319866821435e-05
0,4.0,0.5881066594868603,0.6156760247660475,0.5691142164884476,0.5795297372060857,0.6884773921257147,hakd,hard,False,hard,hakd,0.018007609945867465,0.013789754979183786,0.6499073874815543,0.612119499419434,kd,True,0.67461736669035,0.681280802336275,0.6865158051866427,0.6586812674810711,0.700875300026416,0.6874386244227942,0.6798667615137272,0.6509062830882839,0.703864320312073,0.6892957914250472,0.701781712849101,0.687921050272522,0.7005655953389445,0.6913588167282395,0.011898438496292685,0.026257933336065964,0.014359494839773279,0.700875300026416,0.67461736669035,0.6865158051866427,0.700875300026416,0.6874386244227942,0.681280802336275,0.6586812674810711,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,kd,0.6865158051866427,0.6586812674810711,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,hakd,0.700875300026416,0.6874386244227942,-0.004725172369726749,0.0002763444382248394,0.004523411169556402,5.439102807010693e-05,-0.008250571953242374,0.0004059826220954729
0,8.0,0.5701623941151394,0.5938721531961701,0.5536828023166062,0.5629322268326418,0.3238927928737457,hakd,hakd,True,hakd,hard,0.017974092917907875,0.014656274708230494,0.61025515339491,0.5821693907886639,hakd,True,0.67461736669035,0.681280802336275,0.6507384378814377,0.6243381217857799,0.6760431326401415,0.6651675187111982,0.6448904846650635,0.6182629245719301,0.6762921346395584,0.6684703393508621,0.6736844809486072,0.6633649794506797,0.6761856024894791,0.6627495423379971,-0.023878928808912292,0.001425765949791491,0.025304694758703783,0.6760431326401415,0.6760431326401415,0.6507384378814377,0.67461736669035,0.6651675187111982,0.6651675187111982,0.6243381217857799,0.681280802336275,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,hakd,0.6760431326401415,0.6651675187111982,-0.01819953665320321,3.2255495258329866e-05,-0.013396356736359154,0.00010988431725627098,-0.020295446860648665,1.2841342873531279e-05
1,0.5,0.6306422085800153,0.6980168829112605,0.650341278098495,0.5435684647302905,31.410917366067462,kd,kd,True,kd,kd,0.01920204343410236,0.013431179478865692,0.7123808433987356,0.6572034344237522,kd,True,0.6787884882084495,0.6884477670696753,0.7270550955530051,0.6967711066606045,0.7343953528356196,0.7166660029386378,0.7262803356879998,0.6949750719822757,0.7321899878850813,0.7161880392430224,0.7314415586116122,0.7116105602007207,0.7313126810406079,0.7208096170766886,0.04826660734455557,0.05560686462717013,0.0073402572826145596,0.7270550955530051,0.7270550955530051,0.7270550955530051,0.7270550955530051,0.6967711066606045,0.6967711066606045,0.6967711066606045,0.6967711066606045,kd,0.7270550955530051,0.6967711066606045,kd,0.7270550955530051,0.6967711066606045,kd,0.7270550955530051,0.6967711066606045,hakd,0.7343953528356196,0.7166660029386378,kd,0.7270550955530051,0.6967711066606045,kd,0.7270550955530051,0.6967711066606045,hakd,0.7343953528356196,0.7166660029386378,kd,0.7270550955530051,0.6967711066606045,kd,0.7270550955530051,0.6967711066606045,kd,0.7270550955530051,0.6967711066606045,0.04607631626190035,4.797375026758975e-06,0.046642707192371825,2.6370517042623814e-06,0.04510441437206582,9.999464395263559e-06
1,1.0,0.6137165330267371,0.6777213069673258,0.6364573377560391,0.5269709543568465,4.3700538328001395,kd,hard,False,hard,kd,0.018778664373215997,0.014205702561500246,0.6999938656838097,0.6431761927155006,kd,True,0.6787884882084495,0.6884477670696753,0.7189328908655335,0.6952517497274227,0.7202025235238928,0.7074835359278979,0.7193901180293673,0.6932002417293671,0.719471529371846,0.7065105712966456,0.7262944261126596,0.7125251986432893,0.7268930556694176,0.7222933193487243,0.040144402657083966,0.0414140353154433,0.001269632658359332,0.7189328908655335,0.6787884882084495,0.7189328908655335,0.7189328908655335,0.6952517497274227,0.6884477670696753,0.6952517497274227,0.6952517497274227,kd,0.7189328908655335,0.6952517497274227,kd,0.7189328908655335,0.6952517497274227,kd,0.7189328908655335,0.6952517497274227,hakd,0.7202025235238928,0.7074835359278979,kd,0.7189328908655335,0.6952517497274227,kd,0.7189328908655335,0.6952517497274227,hakd,0.7202025235238928,0.7074835359278979,kd,0.7189328908655335,0.6952517497274227,kd,0.7189328908655335,0.6952517497274227,hakd,0.7202025235238928,0.7074835359278979,0.033255951300191294,4.7450762096276495e-05,0.029267947449986016,0.00011829727787200811,0.032564782495057384,5.745064180059987e-05
1,2.0,0.5795497651788718,0.6247470479904669,0.5896975449182095,0.5242047026279392,1.5564007857753206,hakd,hard,False,hakd,hakd,0.018849440143348672,0.014562425231424413,0.6776675166466269,0.6300772081927303,kd,False,0.6787884882084495,0.6884477670696753,0.6940023751616842,0.6704129657564145,0.7108858351095808,0.6995885470654525,0.6973762490663314,0.6727160871976657,0.7085840432630123,0.6963493144803513,0.7119668126377731,0.6948128839252409,0.7113407850330655,0.7015742218671023,0.015213886953234668,0.03209734690113131,0.01688345994789664,0.7108858351095808,0.6787884882084495,0.6940023751616842,0.7108858351095808,0.6995885470654525,0.6884477670696753,0.6704129657564145,0.6995885470654525,hakd,0.7108858351095808,0.6995885470654525,kd,0.6940023751616842,0.6704129657564145,hakd,0.7108858351095808,0.6995885470654525,hakd,0.7108858351095808,0.6995885470654525,kd,0.6940023751616842,0.6704129657564145,hakd,0.7108858351095808,0.6995885470654525,hakd,0.7108858351095808,0.6995885470654525,hakd,0.7108858351095808,0.6995885470654525,hakd,0.7108858351095808,0.6995885470654525,hakd,0.7108858351095808,0.6995885470654525,-0.0002069736020401912,0.00023780294026523203,-0.005805357639780745,0.00044180864326100774,-0.0009893259159533523,0.0002625441072842203
1,4.0,0.5803621857423137,0.6050305409031441,0.5606756567110723,0.5753803596127247,0.6910224771003589,hakd,hard,False,hakd,hakd,0.018392379260490054,0.013823888745221467,0.6338813085250771,0.6057454815434004,kd,True,0.6787884882084495,0.6884477670696753,0.666429691342843,0.6406060549989382,0.6990443276220145,0.6912943938784353,0.6604291630230822,0.633768113112772,0.6997842172441748,0.689408063567925,0.69542458292343,0.682707911400219,0.6976698707438378,0.6912840034056323,-0.01235879686560648,0.020255839413565013,0.032614636279171494,0.6990443276220145,0.6787884882084495,0.666429691342843,0.6990443276220145,0.6912943938784353,0.6884477670696753,0.6406060549989382,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,kd,0.666429691342843,0.6406060549989382,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,hakd,0.6990443276220145,0.6912943938784353,-0.012661550763480217,9.165992267774089e-08,-0.004971381350022397,5.457390799989245e-05,-0.013798680624658216,2.0732652395809574e-06
1,8.0,0.5304461689143096,0.5389900252493688,0.5101631426277234,0.5421853388658369,0.32506397810152254,hakd,hakd,True,hakd,hard,0.01944106664662378,0.01477546226229135,0.5974555681942394,0.5735738957251373,hakd,False,0.6787884882084495,0.6884477670696753,0.6445200772895374,0.6266827568085586,0.6826403690951158,0.6778789879525752,0.6408426187808566,0.6199788638167746,0.6832501713623363,0.677749810456931,0.68522710064036,0.6767552175512513,0.6780468906560274,0.6768461666937604,-0.034268410918912084,0.0038518808866663257,0.03812029180557841,0.6826403690951158,0.6826403690951158,0.6445200772895374,0.6787884882084495,0.6778789879525752,0.6778789879525752,0.6266827568085586,0.6884477670696753,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,hakd,0.6826403690951158,0.6778789879525752,-0.054378204446022434,0.0004044037957030093,-0.056211805813640485,0.0004815125795059924,-0.05500007706130927,0.00042980198103981785
2,0.5,0.6265100722786766,0.6985372032365857,0.6637039402937736,0.5172890733056708,31.303669169923868,kd,hard,False,kd,kd,0.020769943749652988,0.014362854160737832,0.7147860361899037,0.656896026569217,kd,True,0.6929312893962581,0.6915056337162148,0.7334702951075768,0.7076394662290516,0.7302657197901296,0.7139160077570116,0.7266350158723652,0.7007518042430076,0.7281114504199232,0.7116787094206574,0.7218646954874205,0.7065920483964013,0.7191808254085369,0.7096225792295132,0.04053900571131863,0.03733443039387141,-0.0032045753174472225,0.7334702951075768,0.6929312893962581,0.7334702951075768,0.7334702951075768,0.7076394662290516,0.6915056337162148,0.7076394662290516,0.7076394662290516,kd,0.7334702951075768,0.7076394662290516,kd,0.7334702951075768,0.7076394662290516,kd,0.7334702951075768,0.7076394662290516,hakd,0.7302657197901296,0.7139160077570116,kd,0.7334702951075768,0.7076394662290516,kd,0.7334702951075768,0.7076394662290516,hakd,0.7302657197901296,0.7139160077570116,kd,0.7334702951075768,0.7076394662290516,kd,0.7334702951075768,0.7076394662290516,hakd,0.7302657197901296,0.7139160077570116,0.04856499973119923,6.441658000715914e-05,0.044071876573746054,1.2481176530588673e-05,0.05254538845033935,0.0001441532264758546
2,1.0,0.6145504908619261,0.680291326050182,0.644687947365472,0.5186721991701244,4.3525929589290735,kd,hard,False,hard,hakd,0.019967230528153038,0.01462615784030187,0.6978577430726349,0.6485004817163639,kd,True,0.6929312893962581,0.6915056337162148,0.7096292965832286,0.6846252124416318,0.7167747786522382,0.6987434702040579,0.7099316714033265,0.6822581686718578,0.7183893420597184,0.7020783754230498,0.720051514023246,0.7027579797342359,0.7018638358291888,0.6960954827863236,0.016698007186970454,0.02384348925598001,0.007145482069009557,0.7096292965832286,0.6929312893962581,0.7096292965832286,0.7167747786522382,0.6846252124416318,0.6915056337162148,0.6846252124416318,0.6987434702040579,kd,0.7096292965832286,0.6846252124416318,kd,0.7096292965832286,0.6846252124416318,kd,0.7096292965832286,0.6846252124416318,hakd,0.7167747786522382,0.6987434702040579,kd,0.7096292965832286,0.6846252124416318,hakd,0.7167747786522382,0.6987434702040579,hakd,0.7167747786522382,0.6987434702040579,kd,0.7096292965832286,0.6846252124416318,kd,0.7096292965832286,0.6846252124416318,hakd,0.7167747786522382,0.6987434702040579,0.03706569733779397,0.0004148428020799532,0.03191591135203252,0.00023158460717701335,0.040194807592204465,0.0005520996292834052
2,2.0,0.6070274245633223,0.6645748856278594,0.6267701819763539,0.5297372060857538,1.5505155007745814,kd,hard,False,hard,hakd,0.019484553960847383,0.014301455311704906,0.6770758611384379,0.6344490367191981,kd,True,0.6929312893962581,0.6915056337162148,0.6883251438077279,0.6661809219764181,0.7046076969585178,0.6918707588061702,0.6925023854092656,0.6663488967507663,0.7016399546373723,0.6871058447914766,0.6951597114053305,0.6768006367033212,0.702327681222787,0.6938601492897069,-0.0046061455885302305,0.011676407562259628,0.016282553150789858,0.6883251438077279,0.6929312893962581,0.6883251438077279,0.7046076969585178,0.6661809219764181,0.6915056337162148,0.6661809219764181,0.6918707588061702,kd,0.6883251438077279,0.6661809219764181,kd,0.6883251438077279,0.6661809219764181,kd,0.6883251438077279,0.6661809219764181,hakd,0.7046076969585178,0.6918707588061702,kd,0.6883251438077279,0.6661809219764181,hakd,0.7046076969585178,0.6918707588061702,hakd,0.7046076969585178,0.6918707588061702,kd,0.6883251438077279,0.6661809219764181,kd,0.6883251438077279,0.6661809219764181,hakd,0.7046076969585178,0.6918707588061702,0.027160550047922928,0.0010091229516590522,0.02426931160077451,0.0008337920278913707,0.0286843694225413,0.0011082583897023786
2,4.0,0.5750338083673168,0.6006926493504329,0.5628596747833295,0.5615491009681881,0.6884773921257147,hakd,hard,False,hakd,hakd,0.019600351078860864,0.014153506984738176,0.6435216497239985,0.6061848768185828,kd,True,0.6929312893962581,0.6915056337162148,0.6771836030724527,0.6482521605882609,0.691283279021151,0.6749044916206678,0.6738697202182508,0.6438540408214889,0.6906223811735986,0.6765409369463118,0.69467999649305,0.674339976775136,0.6936966556448234,0.6842181400366946,-0.01574768632380541,-0.0016480103751070896,0.01409967594869832,0.691283279021151,0.6929312893962581,0.6771836030724527,0.691283279021151,0.6749044916206678,0.6915056337162148,0.6482521605882609,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,kd,0.6771836030724527,0.6482521605882609,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,hakd,0.691283279021151,0.6749044916206678,-0.01310066321227018,7.006731353001646e-06,-0.00824965977817241,5.622040207901714e-05,-0.014374725989103509,1.8850200806647563e-06
2,8.0,0.5296142843650309,0.5469477429730923,0.5232229109518759,0.5186721991701244,0.3238927928737457,hakd,hakd,True,hakd,hard,0.01928253959938139,0.014774612074574705,0.5929189496001167,0.5780522033377491,hakd,False,0.6929312893962581,0.6915056337162148,0.6413258207174217,0.6211321563045807,0.6884395039715073,0.6780479971508889,0.6427754265271174,0.6216063050286144,0.6826476989624893,0.6744051499903313,0.6776456693720281,0.6600520284257465,0.6790825368685213,0.6697883985144665,-0.05160546867883642,-0.004491785424750816,0.0471136832540856,0.6884395039715073,0.6884395039715073,0.6413258207174217,0.6929312893962581,0.6780479971508889,0.6780479971508889,0.6211321563045807,0.6915056337162148,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,hakd,0.6884395039715073,0.6780479971508889,-0.04697291414459758,2.1460561512696814e-05,-0.05441500076454502,7.893470540626135e-06,-0.04322411058158371,7.024716355438359e-05
3,0.5,0.6258670992382235,0.6913290501070808,0.6496194121995676,0.5366528354080221,31.303669169923868,kd,kd,True,kd,hakd,0.0190939427680448,0.0138462894824864,0.7194007925935034,0.6625176091671675,kd,False,0.6806016696726239,0.694709857977981,0.722296659516132,0.6936256473897253,0.7332407919786487,0.7184654207248286,0.722221510584613,0.6898085682717924,0.7348503027591043,0.7200491729179767,0.7328451214680003,0.7181456862823169,0.7349742700306061,0.7291196906533428,0.04169498984350806,0.052639122306024744,0.010944132462516687,0.722296659516132,0.722296659516132,0.722296659516132,0.7332407919786487,0.6936256473897253,0.6936256473897253,0.6936256473897253,0.7184654207248286,kd,0.722296659516132,0.6936256473897253,kd,0.722296659516132,0.6936256473897253,kd,0.722296659516132,0.6936256473897253,hakd,0.7332407919786487,0.7184654207248286,kd,0.722296659516132,0.6936256473897253,kd,0.722296659516132,0.6936256473897253,hakd,0.7332407919786487,0.7184654207248286,kd,0.722296659516132,0.6936256473897253,kd,0.722296659516132,0.6936256473897253,kd,0.722296659516132,0.6936256473897253,0.04155342153417428,2.004158620762355e-08,0.04130479143552359,1.5225479759361254e-07,0.04219179659289683,2.4681694623824175e-07
3,1.0,0.6051388309372641,0.6696790080247993,0.6408965442614051,0.5048409405255878,4.3525929589290735,kd,hard,False,hard,kd,0.019501490691157284,0.014599944741150755,0.7013102529330856,0.6500945403466828,kd,False,0.6806016696726239,0.694709857977981,0.7202070780045909,0.7012218445346838,0.7235354071022572,0.7157301972831768,0.7167456726740267,0.6946558886076605,0.7241138261509171,0.7143809332065177,0.7329507996529485,0.7195769210983166,0.7204213520886849,0.7163314508785149,0.03960540833196702,0.042933737429633245,0.003328329097666227,0.7202070780045909,0.6806016696726239,0.7202070780045909,0.7202070780045909,0.7012218445346838,0.694709857977981,0.7012218445346838,0.7012218445346838,kd,0.7202070780045909,0.7012218445346838,kd,0.7202070780045909,0.7012218445346838,kd,0.7202070780045909,0.7012218445346838,hakd,0.7235354071022572,0.7157301972831768,kd,0.7202070780045909,0.7012218445346838,hakd,0.7235354071022572,0.7157301972831768,hakd,0.7235354071022572,0.7157301972831768,kd,0.7202070780045909,0.7012218445346838,kd,0.7202070780045909,0.7012218445346838,hakd,0.7235354071022572,0.7157301972831768,0.028238770414296763,0.0001292004575514192,0.0206607986597825,0.00035889823563142715,0.030180950180160326,8.882041145515561e-05
3,2.0,0.5985920740146957,0.6509293934318309,0.6151096225265024,0.5297372060857538,1.5505155007745814,hakd,hard,False,hard,hakd,0.019179988556972373,0.014750283392044443,0.671625144035452,0.6300924867974848,kd,True,0.6806016696726239,0.694709857977981,0.7013757947568818,0.6789197392287586,0.7202513418638757,0.7144651945192644,0.6961062605891676,0.6723354722129073,0.7177559845876372,0.7115948868008165,0.7153434619290958,0.7038033835802229,0.7142725896549525,0.71465205958445,0.02077412508425791,0.03964967219125182,0.018875547106993906,0.7202513418638757,0.6806016696726239,0.7013757947568818,0.7202513418638757,0.7144651945192644,0.694709857977981,0.6789197392287586,0.7144651945192644,hakd,0.7202513418638757,0.7144651945192644,kd,0.7013757947568818,0.6789197392287586,kd,0.7013757947568818,0.6789197392287586,hakd,0.7202513418638757,0.7144651945192644,kd,0.7013757947568818,0.6789197392287586,hakd,0.7202513418638757,0.7144651945192644,hakd,0.7202513418638757,0.7144651945192644,kd,0.7013757947568818,0.6789197392287586,kd,0.7013757947568818,0.6789197392287586,hakd,0.7202513418638757,0.7144651945192644,0.016707865486317468,1.6534467117842773e-05,0.014140659077848478,4.400287125818951e-05,0.017291129163912303,1.2131260581144147e-05
