,health,health,epsilon,epsilon,teacher_test_bal_acc,teacher_test_bal_acc,hard,hard,kd,kd,hakd,hakd,ctkd_global,ctkd_global,hakd_class,hakd_class,hakd_confidence,hakd_confidence,kd_meanmatched,kd_meanmatched,tcrd,tcrd,rc_tcrd,rc_tcrd,t_bacc,t_bacc,s_bacc,s_bacc,hard_mf1,hard_mf1,kd_mf1,kd_mf1,hakd_mf1,hakd_mf1,ctkd_global_mf1,ctkd_global_mf1,hakd_class_mf1,hakd_class_mf1,hakd_confidence_mf1,hakd_confidence_mf1,kd_meanmatched_mf1,kd_meanmatched_mf1,tcrd_mf1,tcrd_mf1,rc_tcrd_mf1,rc_tcrd_mf1,t_bacc_mf1,t_bacc_mf1,s_bacc_mf1,s_bacc_mf1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.624034031270465,0.0046387298438253935,31.325224417293498,0.06760753168783051,0.7139551423502942,0.0069102151228478,0.6785044665222897,0.009198020263104897,0.7231844843644677,0.006537734781808412,0.7245454841754568,0.008160940620547409,0.7213394428845348,0.005930271927444927,0.7245663920884116,0.006021301656104194,0.7223392723761637,0.00782857981895481,0.7238603337181869,0.006171052905016929,0.7231844843644677,0.006537734781808412,0.701408957069465,0.024485333418236332,0.7231844843644677,0.006537734781808412,0.7240321088042666,0.0074635552303535585,0.6865151769947216,0.00778112895396295,0.6975616351643257,0.007096213075891593,0.7101360452125802,0.006348702379131194,0.6942721843879343,0.006125492128576826,0.7085735537881883,0.006538743467182739,0.7143933675535961,0.008016106901453953,0.7097071934543349,0.005539360574613272,0.6975616351643257,0.007096213075891593,0.6913746360442985,0.009797568722488156,0.6975616351643257,0.007096213075891593,0.7037201093121698,0.009200460510283935
1.0,0.6131396662625298,0.009249250153926946,4.356104235595258,0.01100304806658296,0.6942548784181378,0.009867929913981737,0.6785044665222897,0.009198020263104897,0.7115043478211365,0.008021852557314631,0.7150563232702083,0.0076122666504472155,0.7094801159912372,0.007499270740550823,0.7168950881064291,0.008560092079246436,0.7136719888620175,0.010737799982230565,0.7171623934251516,0.005958268736574978,0.7108347324128728,0.007021225239670123,0.6785044665222897,0.009198020263104897,0.7115043478211365,0.008021852557314631,0.7149442403467782,0.006579898950126644,0.6865151769947216,0.00778112895396295,0.6862126099490031,0.009779063893443596,0.700782373594981,0.010557579434431164,0.6824244237702837,0.009817319842744823,0.701885703975347,0.009771012634523702,0.706716702478987,0.012549779948797798,0.7035041203933382,0.007471469059318931,0.6870802509320759,0.011417941352213171,0.6865151769947216,0.00778112895396295,0.6862126099490031,0.009779063893443596,0.6969478365740487,0.01100868590637371
2.0,0.5977347313798334,0.013155644066779404,1.551698841623398,0.003708963113324094,0.6694353568321765,0.010572445871010283,0.6785044665222897,0.009198020263104897,0.6936033172560165,0.007774177335884385,0.7066761357166931,0.00821297561348025,0.6912760843649232,0.006306386172897217,0.7056714386238181,0.007985924499765531,0.7032826348467873,0.01098040858954333,0.7062515584863639,0.007281759753202637,0.7011718821163762,0.010388089406922736,0.6785044665222897,0.009198020263104897,0.6936033172560165,0.007774177335884385,0.7066761357166931,0.00821297561348025,0.6865151769947216,0.00778112895396295,0.667820489084641,0.00792566258617196,0.6940351521206626,0.0103640133144289,0.664095031878751,0.00882519183339211,0.6894870464632428,0.009501995080305766,0.6955844588524641,0.011379691256758837,0.6934178489928317,0.008698285936730542,0.6813008177002156,0.01819850043824064,0.6865151769947216,0.00778112895396295,0.667820489084641,0.00792566258617196,0.6940351521206626,0.0103640133144289
4.0,0.5804366201815562,0.007156372057467182,0.6889890878618556,0.0016040182159549204,0.6375025191971362,0.0066790509263436205,0.6785044665222897,0.009198020263104897,0.6722493854297608,0.007753783172263805,0.692243619741852,0.005891453892187113,0.6678839299133739,0.008279626619903674,0.694334766856133,0.007691514259526108,0.6952078536895848,0.00884351437924533,0.6913364312341732,0.010873715702529539,0.692243619741852,0.005891453892187113,0.6823481564600755,0.010013257291976125,0.6722493854297608,0.007753783172263805,0.6898158965039807,0.010483582420171392,0.6865151769947216,0.00778112895396295,0.6467824123844795,0.007482731069481537,0.68340824235025,0.005583898283385421,0.6427329795306183,0.00840238694913045,0.6812960501105105,0.007137290002941557,0.6878620410413654,0.010543855187746374,0.6829249034930177,0.008991017298579122,0.68340824235025,0.005583898283385421,0.6868498206115056,0.007565327483265226,0.6467824123844795,0.007482731069481537,0.6850182064763233,0.007672135163682426
8.0,0.5506405805901539,0.016574561205345686,0.3241282554327626,0.0007381446190082115,0.5922297712739792,0.012301934921751335,0.6785044665222897,0.009198020263104897,0.637808879187845,0.013750814207151272,0.6752610856060193,0.012867500028203152,0.6334669646435663,0.013851938300117135,0.6734558175520577,0.014653462823510417,0.6728742815306699,0.012619966576895288,0.6752540902083219,0.011960838867152336,0.6752610856060193,0.012867500028203152,0.6769030612942013,0.010644791497923366,0.637808879187845,0.013750814207151272,0.6776427801233353,0.00938151179920443,0.6865151769947216,0.00778112895396295,0.615579924402145,0.014822963217653074,0.6689819162650597,0.012996972013711326,0.6106123517731179,0.015066096678962955,0.6638247711954146,0.01283505898359429,0.6664059729737258,0.013317289609847188,0.6689153154357687,0.012575493868412004,0.6689819162650597,0.012996972013711326,0.6722649318972196,0.00960268830321765,0.615579924402145,0.014822963217653074,0.6841699081991024,0.008534666779379746
