architecture,seed,method,run_tag,effective_mode,requested_mode,dev_bal_acc,test_bal_acc,dev_macro_f1,test_macro_f1,student_init_hash,student_loaded_hash,paired_reused,teacher_cache_id,teacher_global_health
bs,2,tcrd,s_tcrd,hard,tcrd,0.25,0.25,0.1,0.1,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,f96e1f2a877967ca52efb29ba98c8327f67e11dfe19f515eb340ebaae5e23584,True,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
ce,0,hakd,ce_hakd,hakd,hakd,0.25,0.25,0.1,0.1,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.21450774535536
ce,0,hard,ce_hard,hard,hard,0.25,0.25,0.1,0.1,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.21450774535536
ce,0,kd,ce_kd,kd,kd,0.25,0.275,0.10067114093959731,0.14749536178107608,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.21450774535536
ce,0,tcrd,ce_tcrd,hard,tcrd,0.25,0.25,0.1,0.1,49cb5c06626141a7f1d8bbbfe597fde580da20b0b5a757bb26cbb668c96a81cb,fb1be6150e3e6012b5af4ce9e70285ea460847114e4ddffbcd18351b6ca1b5f0,True,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.21450774535536
ce,1,hakd,ce_hakd,hakd,hakd,0.26666666666666666,0.25833333333333336,0.15407384327776913,0.14947089947089948,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.1286910197869102
ce,1,hard,ce_hard,hard,hard,0.26666666666666666,0.275,0.15873015873015872,0.17110239529345847,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.1286910197869102
ce,1,kd,ce_kd,kd,kd,0.25,0.25833333333333336,0.13559466848940532,0.14384615384615385,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.1286910197869102
ce,1,tcrd,ce_tcrd,hard,tcrd,0.26666666666666666,0.275,0.15873015873015872,0.17110239529345847,4f73974854fdba20570ee01e02333433519388259024087e13768cf6621d2196,52fc3a893a891076a23a6faecdf5d43a4f859d0a8cc624b7b1bf7061aa4f9dc7,True,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.1286910197869102
ce,2,hakd,ce_hakd,hakd,hakd,0.25,0.25,0.1,0.1,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2256419234360411
ce,2,hard,ce_hard,hard,hard,0.25,0.25,0.1,0.1,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2256419234360411
ce,2,kd,ce_kd,kd,kd,0.25833333333333336,0.25833333333333336,0.11957730812013348,0.11886875828546177,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2256419234360411
ce,2,tcrd,ce_tcrd,hard,tcrd,0.25,0.25,0.1,0.1,ae8c1c35790033a5d906dba16f10965daf29cdfff8ff0037899658c4a7c504b9,f96e1f2a877967ca52efb29ba98c8327f67e11dfe19f515eb340ebaae5e23584,True,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossce_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2256419234360411
hetero,0,hakd,het_s0_hakd,hakd,hakd,0.25,0.25833333333333336,0.10067114093959731,0.11680017319766182,75060bd1e71a8e57395c313f056c45fbba6a965fa80b9963e19296007cb890c6,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
hetero,0,hard,het_s0_hard,hard,hard,0.25,0.25,0.1,0.1,75060bd1e71a8e57395c313f056c45fbba6a965fa80b9963e19296007cb890c6,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
hetero,0,kd,het_s0_kd,kd,kd,0.275,0.31666666666666665,0.1523510439653709,0.19613646985511762,75060bd1e71a8e57395c313f056c45fbba6a965fa80b9963e19296007cb890c6,,False,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
hetero,0,tcrd,het_s0_tcrd,hard,tcrd,0.25,0.25,0.1,0.1,75060bd1e71a8e57395c313f056c45fbba6a965fa80b9963e19296007cb890c6,f58217c7c37d53d070499a91f043fe1380a8d6b78523fc5ad4a72fec0ea5a769,True,seed0_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.29555924301687014
hetero,1,hakd,het_s1_hakd,hakd,hakd,0.26666666666666666,0.24166666666666667,0.13260135135135137,0.11038961038961038,0b3c18a7dd8d3499091220d8c91190560c0ffcd520e92d5748ff0e3d6dad7652,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
hetero,1,hard,het_s1_hard,hard,hard,0.25833333333333336,0.25833333333333336,0.11680017319766182,0.11680017319766182,0b3c18a7dd8d3499091220d8c91190560c0ffcd520e92d5748ff0e3d6dad7652,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
hetero,1,kd,het_s1_kd,kd,kd,0.25,0.25,0.10344827586206896,0.1056338028169014,0b3c18a7dd8d3499091220d8c91190560c0ffcd520e92d5748ff0e3d6dad7652,,False,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
hetero,1,tcrd,het_s1_tcrd,hard,tcrd,0.25833333333333336,0.25833333333333336,0.11680017319766182,0.11680017319766182,0b3c18a7dd8d3499091220d8c91190560c0ffcd520e92d5748ff0e3d6dad7652,0a7832ab54adb11355a87254e7c43f3cdf725f6bd74c1f91967ad4a2371e320f,True,seed1_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.3045750809951709
hetero,2,hakd,het_s2_hakd,hakd,hakd,0.23333333333333334,0.18333333333333332,0.12650240384615385,0.08922777417261518,296b7d3b8314f1ad50ddb98575567d2a5b32d441c83dc887fa70fb250626d611,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
hetero,2,hard,het_s2_hard,hard,hard,0.225,0.18333333333333332,0.12279007576883078,0.08958566629339305,296b7d3b8314f1ad50ddb98575567d2a5b32d441c83dc887fa70fb250626d611,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
hetero,2,kd,het_s2_kd,kd,kd,0.26666666666666666,0.25833333333333336,0.13201970443349753,0.12060041407867494,296b7d3b8314f1ad50ddb98575567d2a5b32d441c83dc887fa70fb250626d611,,False,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
hetero,2,tcrd,het_s2_tcrd,hard,tcrd,0.225,0.18333333333333332,0.12279007576883078,0.08958566629339305,296b7d3b8314f1ad50ddb98575567d2a5b32d441c83dc887fa70fb250626d611,63e9257bb11de081af689f7f35f7c277a18bfd90335f549518a3804867cbe8e9,True,seed2_sigma1_splitofficial_groupspeaker_id_ratios0.6_0.2_0.1_0.1_tbackssl_tmodellinear_head_featssl__home_fu_tmmrr_hf_hubert-base_mean_sr16000_mx12.0_dp1_C8_lossbalanced_softmax_tau1_ept4_lrt0.001_wd0.0001_bs64,0.2915240336613893
